GM,Ip,BF,VL,St,TA,Gs,Gr
0.00720459,0.00145857,0.00060609,0.000545925,0.000946977,0.00263707,0.00842924,0.00552158
0.00810693,0.00120275,0.000630043,0.00055174,0.000924219,0.00274104,0.00921523,0.00667082
0.00829971,0.0011479,0.000615897,0.000509427,0.000955602,0.00275215,0.00966101,0.006419
0.00779563,0.00100574,0.000613316,0.000495846,0.000921632,0.00248955,0.00864561,0.00578489
0.00768043,0.000992957,0.000624882,0.000514692,0.000832771,0.00294625,0.00934166,0.00700394
0.00821226,0.00111519,0.000626575,0.000493081,0.000805881,0.00304678,0.00982175,0.00708501
0.0075774,0.00144704,0.000658158,0.000482849,0.000790382,0.00297632,0.00997605,0.00722875
0.00762929,0.00142316,0.00065964,0.000503986,0.000835688,0.00422762,0.0111043,0.00861495
0.00680678,0.00140477,0.000673986,0.000476162,0.000773349,0.00480008,0.0114711,0.00961006
0.00647588,0.00146724,0.000690365,0.000485694,0.000769822,0.00528261,0.0110717,0.00921704
0.00648731,0.00147309,0.000697319,0.000477164,0.000876314,0.00556209,0.0101675,0.0091651
0.00881602,0.00171245,0.000705671,0.000501928,0.00082763,0.0058145,0.0100685,0.00960442
0.00911561,0.00169221,0.000714769,0.000507823,0.000849101,0.00546597,0.00893206,0.00862547
0.00919949,0.00173502,0.000721542,0.000529046,0.000900189,0.00546917,0.00815215,0.00844567
0.00844602,0.00153214,0.000724214,0.00054417,0.000823269,0.00573745,0.00747756,0.00828925
0.00839986,0.00153175,0.000724332,0.000526665,0.000771676,0.00431986,0.00414354,0.00648211
0.00958363,0.00162152,0.000709652,0.000539844,0.000761475,0.00357812,0.00318807,0.00529336
0.0106827,0.00153218,0.000721836,0.000515283,0.000796077,0.00396711,0.00209717,0.00371858
0.0104365,0.00155797,0.000729807,0.000511482,0.000751447,0.00453881,0.00217439,0.00371796
0.00817062,0.00143465,0.000719869,0.000490189,0.000727629,0.00447789,0.00252283,0.00352755
0.00837058,0.00125595,0.000728942,0.000490493,0.000759512,0.00429688,0.00373796,0.00304095
0.00801413,0.00120607,0.000764274,0.000499433,0.000719766,0.00400097,0.00386634,0.00340128
0.00721175,0.00117827,0.000783757,0.000508814,0.00071223,0.00410686,0.00358073,0.0032497
0.0071023,0.00143699,0.000763895,0.000524643,0.00070719,0.00419583,0.00332393,0.00326999
0.00597362,0.00159052,0.000790064,0.000533326,0.000707372,0.00423048,0.00318582,0.00316196
0.00580672,0.00154725,0.000743743,0.000563533,0.00068558,0.00400922,0.00304353,0.00299422
0.00644668,0.00155838,0.000702721,0.000578013,0.000683963,0.00278968,0.00305141,0.00289142
0.00708028,0.00156016,0.000714072,0.000613302,0.000687458,0.00296581,0.00281021,0.00269275
0.00703085,0.00166697,0.000695517,0.000618314,0.000712445,0.00332409,0.00165776,0.00253636
0.00763897,0.00173104,0.000686763,0.000584737,0.000751524,0.00352117,0.00129108,0.00209399
0.00817326,0.00167544,0.000666805,0.000576155,0.000757616,0.00322857,0.00123349,0.00175877
0.00780017,0.00130371,0.000666751,0.000586439,0.000752061,0.0026857,0.00123225,0.00146421
0.00710649,0.00113121,0.000663883,0.000590628,0.000736619,0.00345656,0.00110968,0.00143011
0.0060334,0.00117376,0.000698315,0.000557968,0.00077895,0.00353651,0.00137846,0.00140519
0.00520732,0.00123517,0.000729804,0.000554255,0.000780906,0.00355639,0.00138745,0.00136559
0.00449084,0.00140639,0.000748234,0.00053299,0.000766408,0.0039321,0.00141733,0.0013016
0.0044078,0.00149281,0.000768041,0.000519622,0.000734468,0.00377432,0.00150416,0.00145065
0.00324706,0.00138814,0.000753865,0.000513501,0.00068712,0.00346438,0.00148842,0.00140469
0.0038799,0.00139343,0.000736387,0.000526552,0.000687129,0.00353049,0.00145494,0.00140819
0.00650539,0.00152023,0.000743077,0.000517503,0.000682614,0.00388054,0.0014348,0.00143521
0.00751854,0.00144621,0.000766946,0.000522053,0.000696392,0.00314098,0.00145006,0.00138867
0.00764425,0.00134044,0.000765494,0.000511913,0.0006545,0.00284683,0.00114758,0.00134206
0.00724045,0.0013534,0.00074997,0.000516915,0.000603774,0.0028208,0.0008801,0.0012929
0.0080817,0.0012799,0.000736341,0.000534822,0.000579755,0.00238064,0.000810482,0.00125539
0.0101912,0.00114888,0.00074025,0.000558336,0.000572233,0.00214624,0.000692412,0.00108529
0.0106472,0.00122009,0.000735862,0.000568575,0.000528375,0.00233632,0.00057123,0.00109143
0.00947014,0.00143995,0.000709257,0.000585445,0.000537916,0.00242906,0.000534029,0.00114953
0.00756951,0.00138428,0.000731977,0.000556176,0.000559468,0.00234799,0.000554841,0.00112111
0.00557123,0.00123263,0.000683932,0.000570759,0.000551439,0.00222675,0.000555591,0.0011042
0.00511022,0.00132226,0.000650477,0.000561909,0.000558896,0.0020827,0.00052913,0.00109921
0.00529331,0.00148628,0.00064923,0.000569601,0.000553103,0.00225788,0.000520486,0.0011314
0.00484315,0.00154544,0.000630675,0.000559122,0.000556586,0.00217705,0.00055508,0.00108541
0.00282653,0.00161159,0.000624933,0.000556911,0.000528865,0.00228783,0.000553426,0.00103278
0.00382023,0.00156713,0.000625303,0.000572897,0.000580114,0.00243257,0.000570826,0.00102382
0.00482256,0.00144167,0.000626575,0.000570412,0.000568406,0.00221781,0.000588783,0.000986663
0.00524362,0.00138436,0.000653984,0.000576466,0.000570124,0.00202253,0.000573702,0.00106
0.00526246,0.0015407,0.000648621,0.000582911,0.000580877,0.00196137,0.000560189,0.00108966
0.00523171,0.00180881,0.000666626,0.00063651,0.000569089,0.0019475,0.000552942,0.00104582
0.00495194,0.00180899,0.000666212,0.000617886,0.000569911,0.00196096,0.000561458,0.00097591
0.00479914,0.00167912,0.000684519,0.000638412,0.000583026,0.00175109,0.000528748,0.000957662
0.00462453,0.00160566,0.000694667,0.000649626,0.000588503,0.00144684,0.000488717,0.000974805
0.00405389,0.00160661,0.000723127,0.000645479,0.000543466,0.00112955,0.000482477,0.000951385
0.00295374,0.00183779,0.000740771,0.000637867,0.000562691,0.00101298,0.000478944,0.000992026
0.00300103,0.00204699,0.000731268,0.000632167,0.000549124,0.000987051,0.000474243,0.000938472
0.00302814,0.00221357,0.000739215,0.000650111,0.000580685,0.000968505,0.000472028,0.000824423
0.00306014,0.00222076,0.000714597,0.000645635,0.000566635,0.00100341,0.00049347,0.000879191
0.00315859,0.00259342,0.000746142,0.000702311,0.000575227,0.000926622,0.000480578,0.00098096
0.00410367,0.00273091,0.000724793,0.000737071,0.000569356,0.0008658,0.000495831,0.000951209
0.00579508,0.00301438,0.00071219,0.000747686,0.00060276,0.000832159,0.000516031,0.000930745
0.00495178,0.00341082,0.000675848,0.0007292,0.000613206,0.000833181,0.000532829,0.00102731
0.00437564,0.00339186,0.000693589,0.000766772,0.000643159,0.000843524,0.00053846,0.000987277
0.00419424,0.00355977,0.000668896,0.000755532,0.000666984,0.000884408,0.000541901,0.00105318
0.00373982,0.00341814,0.000626627,0.000749573,0.00063874,0.000897038,0.000572436,0.00125547
0.00368215,0.00388058,0.000640682,0.000787103,0.000644987,0.000858919,0.000578826,0.00175528
0.00361779,0.0035126,0.000624218,0.000743078,0.000623699,0.000837663,0.000560911,0.00213066
0.00285352,0.00341747,0.000642561,0.00071096,0.000613052,0.000958474,0.000577018,0.00213391
0.00196977,0.00372495,0.000634338,0.000675622,0.000630884,0.00106745,0.000576943,0.00217931
0.00187504,0.00373671,0.000656177,0.000665449,0.000632639,0.000953138,0.000590162,0.00220875
0.00185374,0.0038411,0.000629015,0.000640915,0.000606641,0.000981508,0.000574645,0.00237945
0.00200521,0.00386344,0.00057832,0.000626993,0.000595037,0.000934123,0.000560855,0.00249831
0.00209996,0.0036658,0.000634209,0.000698006,0.000577628,0.000877526,0.000571051,0.00258649
0.00219561,0.00314176,0.000681689,0.000684676,0.000584618,0.000905923,0.0005623,0.00232159
0.00222911,0.00327212,0.000695311,0.000662092,0.000578718,0.000908879,0.000560876,0.00206687
0.00223071,0.00395357,0.000668929,0.000691551,0.000589164,0.000845374,0.000580818,0.00223426
0.00167754,0.00375621,0.000669454,0.000734232,0.000553344,0.000710774,0.000550364,0.00245065
0.00115967,0.00341279,0.000671818,0.000786969,0.00057477,0.00071922,0.00056781,0.0024166
0.00112437,0.00336849,0.000702135,0.00087439,0.000546495,0.000690812,0.000553948,0.00226843
0.00100332,0.00317327,0.000763182,0.000904309,0.000532459,0.000659942,0.000567458,0.00217863
0.000842745,0.00284762,0.000768399,0.000857276,0.000544566,0.000688723,0.000547314,0.002023
0.00065575,0.0027576,0.000711972,0.00076461,0.000548107,0.000668937,0.000562209,0.00182608
0.000632544,0.00249129,0.000738097,0.000789755,0.000554004,0.000634579,0.00058799,0.00175733
0.000601822,0.00198251,0.000724312,0.000767837,0.000575416,0.000642438,0.000591613,0.0016601
0.000594289,0.00189977,0.000731539,0.000757653,0.000608676,0.000639647,0.000583595,0.00142406
0.000590888,0.00208156,0.000722641,0.000710259,0.000596479,0.000630496,0.000593405,0.00137612
0.000586509,0.00203082,0.000726319,0.000570471,0.000603648,0.000662309,0.000581784,0.00167889
0.000607453,0.00216639,0.000683293,0.000558368,0.000619737,0.000755076,0.000580875,0.00172058
0.000633201,0.00234378,0.00067244,0.000580309,0.000612566,0.0010813,0.000561068,0.00174762
0.000640238,0.00243657,0.000679407,0.000633377,0.000578192,0.00130068,0.000566505,0.00163787
0.000608129,0.00253807,0.0006654,0.000657428,0.000585522,0.00131084,0.000563763,0.0016157
0.000582827,0.00265677,0.000646912,0.000651,0.000577332,0.00130323,0.000579458,0.00145796
0.000555815,0.0024507,0.000659671,0.000725103,0.000569621,0.00127586,0.000597173,0.00142921
0.000511743,0.00180678,0.000618199,0.000800197,0.000551835,0.00122679,0.000580991,0.00104174
0.000554784,0.00209363,0.000646578,0.000765371,0.000552724,0.000580715,0.000584999,0.000981011
0.000604389,0.00188513,0.000703071,0.000732294,0.000568759,0.000591857,0.00053316,0.0011418
0.000622249,0.00176321,0.000712026,0.000604487,0.000531685,0.000605467,0.000553733,0.00126607
0.00064595,0.00174585,0.000723533,0.000627544,0.000553738,0.000620311,0.000611819,0.00129927
0.000544419,0.000968197,0.000667873,0.000623923,0.000605876,0.00061755,0.000914009,0.00214734
0.00057743,0.000753854,0.000625862,0.000549103,0.000658409,0.000606352,0.00108507,0.00411494
0.000586337,0.000692138,0.000674384,0.000563133,0.000742543,0.000608224,0.00110833,0.00463311
0.000634794,0.000639727,0.000642283,0.000505187,0.000715523,0.000604958,0.00101975,0.00426383
0.000613279,0.000698914,0.000628799,0.000591507,0.000712661,0.000592292,0.000574618,0.00203091
0.000636292,0.00076394,0.000603502,0.000615873,0.000605485,0.000553607,0.0005389,0.00125684
0.000603531,0.000943049,0.000614701,0.000610134,0.00057946,0.000584404,0.0005954,0.00112179
0.000516135,0.000894083,0.000633613,0.000611692,0.000614036,0.000566683,0.000628229,0.0010614
0.000518119,0.000917901,0.000630751,0.000629391,0.000619375,0.000661964,0.000652945,0.00109863
0.000549796,0.00163441,0.000664947,0.000688061,0.000587906,0.000702686,0.000629677,0.00157576
0.000608123,0.00147415,0.000627337,0.000652515,0.000624603,0.000693986,0.000568434,0.00177496
0.00063845,0.0014758,0.000671435,0.00065243,0.000649351,0.000663371,0.000549647,0.00190476
0.000681537,0.00201421,0.000727354,0.000677311,0.000634966,0.000591588,0.000573816,0.00172834
0.000641664,0.00177871,0.000710446,0.000776804,0.000675928,0.000519404,0.000589348,0.00122852
0.000590151,0.00188072,0.000719879,0.000837283,0.000690349,0.000526851,0.00061894,0.00113098
0.000553853,0.00195987,0.000652204,0.000735661,0.00066505,0.000517148,0.00064287,0.00114884
0.000527612,0.0019338,0.000640811,0.000757138,0.000676541,0.000540368,0.000639673,0.00123243
0.000573167,0.00242615,0.000678699,0.000713539,0.000706883,0.000616164,0.000665998,0.00150402
0.000603272,0.00313444,0.000652577,0.000835245,0.000625399,0.000666953,0.00064099,0.00211446
0.000574365,0.00366477,0.000664582,0.00083119,0.000616526,0.000664291,0.00059459,0.00228429
0.0005639,0.00274627,0.000648618,0.000989624,0.000578457,0.000703803,0.000586931,0.00232745
0.000534663,0.00343584,0.000583499,0.00104085,0.000573838,0.000588392,0.000544658,0.00178408
0.000538378,0.00195341,0.000562667,0.000959625,0.000615451,0.000603216,0.000503609,0.00149148
0.000580876,0.00194184,0.000600744,0.00075521,0.000606024,0.00059353,0.000491469,0.00131801
0.000654003,0.00144995,0.000618627,0.000733768,0.000620662,0.000585288,0.00048045,0.00129217
0.000613953,0.00123535,0.000634232,0.000708879,0.000633473,0.000547309,0.000514897,0.00132029
0.000599259,0.000758152,0.00060189,0.000677915,0.000624955,0.00054033,0.000556021,0.00116036
0.000541123,0.000721367,0.000617266,0.00063863,0.000684192,0.000546525,0.000577888,0.00104931
0.000601417,0.000892549,0.000659759,0.00060642,0.000650157,0.000510491,0.000538464,0.00091116
0.000649756,0.00096876,0.000693748,0.00061132,0.000646076,0.000509434,0.000510011,0.000846174
0.000604241,0.000998008,0.000736697,0.000653482,0.0006083,0.000521215,0.00054159,0.000762052
0.000587157,0.000697897,0.000749793,0.000576597,0.000572607,0.000553425,0.000539154,0.000806913
0.00056432,0.00068041,0.00074841,0.000542974,0.000579822,0.000601767,0.000631975,0.000829372
0.000603854,0.000817717,0.000735631,0.00059848,0.000677555,0.000558467,0.000652369,0.000957529
0.000567692,0.000974284,0.00067444,0.000597104,0.00066264,0.00054453,0.000636261,0.00127696
0.00060128,0.00100217,0.000600796,0.000631151,0.000690127,0.000597204,0.000664871,0.0015419
0.000580931,0.00105215,0.000615981,0.000677241,0.000671103,0.000605149,0.000607238,0.00210754
